year,canada_pathway_mtco2e_yr,milestone_years,lng_can_measurement_central,lng_can_near_term_methane_gwp20,lng_can_howarth_high,value_kind
2025,636.0,"2023,2026,2030,2035,2050",2.2435,2.814,3.199,calendar-year annual
2026,607.0,"2023,2026,2030,2035,2050",5.3844,6.7536000000000005,7.6776,calendar-year annual
2027,569.0,"2023,2026,2030,2035,2050",7.6279,9.5676,10.8766,calendar-year annual
2028,531.0,"2023,2026,2030,2035,2050",9.01246,11.30424,12.850839999999998,calendar-year annual
2029,493.0,"2023,2026,2030,2035,2050",10.050880000000001,12.606720000000001,14.33152,calendar-year annual
2030,455.0,"2023,2026,2030,2035,2050",10.5320146,13.2102024,15.0175684,calendar-year annual
2031,447.4,"2023,2026,2030,2035,2050",10.5320146,13.2102024,15.0175684,calendar-year annual
2032,439.8,"2023,2026,2030,2035,2050",10.5320146,13.2102024,15.0175684,calendar-year annual
2033,432.2,"2023,2026,2030,2035,2050",10.5320146,13.2102024,15.0175684,calendar-year annual
2034,424.6,"2023,2026,2030,2035,2050",13.6088146,17.0694024,19.4047684,calendar-year annual
2035,417.0,"2023,2026,2030,2035,2050",28.2748946,35.4649224,40.3170884,calendar-year annual
2036,389.2,"2023,2026,2030,2035,2050",38.6129426,48.4318344,55.0580804,calendar-year annual
2037,361.4,"2023,2026,2030,2035,2050",42.9075144,53.81847360000001,61.1816976,calendar-year annual
2038,333.6,"2023,2026,2030,2035,2050",42.9075144,53.81847360000001,61.1816976,calendar-year annual
2039,305.8,"2023,2026,2030,2035,2050",42.9075144,53.81847360000001,61.1816976,calendar-year annual
2040,278.0,"2023,2026,2030,2035,2050",42.9075144,53.81847360000001,61.1816976,calendar-year annual
2041,250.2,"2023,2026,2030,2035,2050",42.9075144,53.81847360000001,61.1816976,calendar-year annual
2042,222.4,"2023,2026,2030,2035,2050",42.9075144,53.81847360000001,61.1816976,calendar-year annual
2043,194.6,"2023,2026,2030,2035,2050",42.9075144,53.81847360000001,61.1816976,calendar-year annual
2044,166.8,"2023,2026,2030,2035,2050",42.9075144,53.81847360000001,61.1816976,calendar-year annual
2045,139.0,"2023,2026,2030,2035,2050",42.9075144,53.81847360000001,61.1816976,calendar-year annual
2046,111.20000000000005,"2023,2026,2030,2035,2050",42.9075144,53.81847360000001,61.1816976,calendar-year annual
2047,83.39999999999998,"2023,2026,2030,2035,2050",42.9075144,53.81847360000001,61.1816976,calendar-year annual
2048,55.599999999999966,"2023,2026,2030,2035,2050",42.9075144,53.81847360000001,61.1816976,calendar-year annual
2049,27.80000000000001,"2023,2026,2030,2035,2050",42.9075144,53.81847360000001,61.1816976,calendar-year annual
2050,0.0,"2023,2026,2030,2035,2050",42.9075144,53.81847360000001,61.1816976,calendar-year annual
